seconds,X,Y,Z
0,2.343741,2.299612,9.312727
0.00899999999999945,2.291577,2.325804,8.796689
0.0179999999999998,2.088251,2.305492,8.465601
0.0270000000000001,1.862871,2.251594,8.33933
0.0359999999999996,1.898391,2.154092,8.541755
0.0449999999999999,1.90566,2.055585,8.837487
0.0539999999999994,1.93485,1.957863,9.16533
0.0629999999999997,1.981863,1.964012,9.224466
0.0720000000000001,1.875742,1.785107,9.143763
0.0809999999999995,1.853581,1.645267,8.927748
0.0899999999999999,1.940424,1.64926,8.781865
0.0989999999999993,2.116848,1.715809,8.75572
0.108,2.432748,1.873147,8.741173
0.117,2.953899,2.09938,8.856937
0.125999999999999,3.420328,2.306995,8.94128
0.135,3.685414,2.285256,9.015165
0.143999999999999,3.932543,2.232459,9.0275
0.153,4.193598,2.168936,8.843798
0.162,4.304545,2.044074,8.6032
0.170999999999999,4.218488,1.966789,8.302249
0.18,3.867316,1.748122,7.978457
0.189,3.547651,1.464993,7.742034
0.198,3.133895,1.266686,7.472677
0.207,2.862785,1.281195,7.333344
0.216,2.898947,1.374425,7.197631
0.225,3.219167,1.511076,7.198426
0.234,3.632493,1.439902,7.128151
0.242999999999999,3.799464,1.355798,7.147831
0.252,3.565464,1.316552,7.376354
0.261,3.398703,1.172862,7.442884
0.27,3.737014,1.07536,7.321632
0.279,4.275613,1.011684,6.962932
0.287999999999999,4.449892,0.921768,7.067032
0.297,4.210223,0.81738,7.230077
0.306,4.500611,0.375947,6.89464
0.315,3.927094,0.195951,6.110022
0.324,2.003726,0.231088,5.116601
0.332999999999999,0.500532,0.517282,4.250311
0.342,-0.28377,0.782866,3.738153
0.351,-0.89434,0.646511,3.752327
0.359999999999999,-1.152099,0.299524,4.159255
0.369,-1.195952,-0.336816,5.271515
0.377999999999999,-0.744013,-0.992502,6.846641
0.387,0.228847,-1.493886,7.923429
0.396,1.285217,-1.627377,8.446438
0.404999999999999,2.381292,-1.41935,8.632802
0.414,3.481399,-1.232439,8.940993
0.423,4.717679,-1.307761,9.711916
0.431999999999999,5.987639,-1.144859,10.924933
0.441,6.743911,-1.201564,11.96916
0.45,6.993138,-1.366543,12.726389
0.459,7.635664,-1.552017,13.218656
0.468,8.56517,-1.547449,12.801989
0.476999999999999,10.003445,-1.376858,11.801767
0.486,11.430168,-0.81265,10.1049
0.495,12.030002,-0.379625,8.008079
0.504,11.878171,-0.29759,6.430462
0.513,11.647676,-0.256735,5.494923
0.521999999999999,12.209558,-0.288425,5.34993
0.531,13.340933,-0.333503,5.706187
0.54,14.10022,-0.298538,6.021906
0.548999999999999,13.963999,-0.430133,6.229761
0.558,12.920367,-0.920111,5.964043
0.566999999999999,11.466148,-1.341069,5.299479
0.576,10.504541,-1.676257,4.491551
0.585,10.728035,-1.625222,3.585863
0.593999999999999,11.564655,-1.386185,2.547038
0.603,12.064995,-1.15368,1.507006
0.611999999999999,12.443088,-0.950939,0.502734
0.621,13.891158,-0.794751,-1.957174
0.63,14.509265,-0.497975,-3.636237
0.638999999999999,14.378081,-0.240608,-3.935857
0.648,14.479835,-0.370594,-3.45966
0.657,13.774014,-0.861817,-2.366304
0.665999999999999,12.963262,-1.177325,-1.786496
0.675,11.781149,-1.176386,-1.052127
0.683999999999999,10.852256,-1.351249,-0.716259
0.693,10.110043,-1.633535,-0.349898
0.702,9.014073,-1.797662,0.341068
0.710999999999999,7.879059,-2.297237,1.999187
0.72,6.2171,-2.641092,3.603647
0.729,3.257359,-3.245044,4.622849
0.738,2.314264,-4.413443,4.459163
0.747,5.414037,-5.283313,6.954361
0.755999999999999,9.522248,-5.583719,9.685696
0.765,10.479995,-4.967605,7.950157
0.774,9.91122,-4.818628,4.176819
0.782999999999999,10.073795,-5.003843,0.068675
0.792,9.494945,-5.069138,-2.177718
0.800999999999999,8.341907,-5.680196,-4.196537
0.81,7.529774,-6.251021,-6.078447
0.819,7.706984,-6.469956,-6.290382
0.827999999999999,8.022271,-6.543919,-4.140849
0.837,7.568742,-6.69551,-0.827944
0.846,5.970229,-6.682409,0.816356
0.855,5.225029,-7.180144,0.516056
0.864,5.071704,-7.873696,-0.922697
0.872999999999999,4.041346,-7.962607,-0.816662
0.882,5.746075,-8.833973,-1.386482
0.891,7.279561,-8.924263,-2.372386
0.899999999999999,6.612469,-7.739765,-2.33901
0.909,9.498153,-7.996844,-2.330076
0.918,7.608055,-6.404356,-0.978759
0.927,5.69595,-5.062425,0.759201
0.936,6.343284,-6.590911,2.162424
0.944999999999999,7.47803,-7.738702,1.70086
0.954,7.015749,-7.231475,1.884754
0.963,5.946422,-6.440804,2.647604
0.972,6.775878,-6.357573,0.976241
0.981,6.689716,-6.456961,-1.767227
0.989999999999999,6.617248,-6.44952,-2.87807
0.999,4.653495,-6.28116,-1.563663
1.008,3.251278,-6.899333,0.028788
1.017,1.831411,-8.40496,-0.091985
1.026,1.922793,-10.162534,-0.764488
1.035,2.269837,-11.062974,-0.382143
1.044,2.453387,-11.478991,-2.002146
1.053,2.450312,-11.365256,-1.685872
1.062,1.19893,-9.46834,1.098737
1.071,0.532739,-8.501848,-0.016415
